max
3,8
9,0
12,2
4,9
14,12
4,0
9,13
13,9
8,10
10,4
11,4
3,6
2,12
8,14
12,8
4,4
0,3
13,13
11,3
13,11
7,10
12,3
0,0
14,13
10,1
3,12
8,2
14,0
9,1
7,8
11,8
4,5
4,12
8,6
14,9
12,9
0,7
1,14
4,6
6,12
10,14
13,3
5,1
4,14
0,2
10,0
3,10
6,3
13,14
11,12
2,0
6,5
3,8
13,4
2,14
5,2
5,12
1,8
5,3
14,2
10,3
5,14
11,1
10,2
5,5
8,0
7,6
10,11
14,7
5,4
6,4
3,13
3,0
14,10
1,11
4,2
7,1
5,7
7,3
10,12
9,12
13,6
13,0
2,3
8,1
7,9
2,1
5,8
0,10
12,6
11,10
3,7
4,11
13,2
2,7
1,3
14,4
8,3
10,8
1,10
5,11
7,14
1,6
14,1
7,13
12,11
7,5
2,6
11,9
3,3
1,13
0,8
4,8
10,9
10,6
0,5
2,9
10,13
7,4
1,7
6,14
0,9
2,4
3,11
2,5
1,5
2,2
5,13
11,6
14,5
8,5
12,12
0,12
12,7
4,7
8,7
6,9
9,3
13,12
11,5
0,6
3,4
9,9
0,1
1,2
6,1
3,1
12,4
9,14
12,1
4,3
1,12
6,11
7,7
11,14
11,11
1,9
12,13
3,2
10,7
14,6
7,2
6,10
13,8
7,12
8,8
11,7
6,6
13,1
6,2
0,4
9,4
9,10
12,0
0,13
9,2
10,10
1,1
8,4
13,5
4,1
